"","AKT2","ERBB2","CCNE1"
"TCGA-2Y-A9H6",NA,NA,0
"TCGA-2Y-A9H7",NA,NA,0
"TCGA-2Y-A9H8",NA,NA,0
"TCGA-2Y-A9H9",NA,NA,0
"TCGA-2Y-A9HA",NA,NA,0
"TCGA-2Y-A9HB",NA,NA,0
"TCGA-3K-AAZ8",NA,NA,0
"TCGA-4R-AA8I",NA,NA,0
"TCGA-5C-A9VG",NA,NA,0
"TCGA-5C-A9VH",NA,NA,0
"TCGA-5C-AAPD",NA,NA,0
"TCGA-5R-AA1C",NA,NA,0
"TCGA-5R-AA1D",NA,NA,0
"TCGA-5R-AAAM",NA,NA,0
"TCGA-BC-4072",NA,NA,0
"TCGA-BC-4073",NA,NA,0
"TCGA-BC-A10Q",NA,NA,0
"TCGA-BC-A10R",NA,NA,0
"TCGA-BC-A10S",NA,NA,0
"TCGA-BC-A10T",NA,NA,1
"TCGA-BC-A10U",NA,NA,0
"TCGA-BC-A10W",NA,NA,0
"TCGA-BC-A10X",NA,NA,0
"TCGA-BC-A10Y",NA,NA,0
"TCGA-BC-A10Z",NA,NA,0
"TCGA-BC-A110",NA,NA,0
"TCGA-BC-A112",NA,NA,0
"TCGA-BC-A216",NA,NA,0
"TCGA-BC-A217",NA,NA,0
"TCGA-BC-A3KF",NA,NA,0
"TCGA-BC-A3KG",NA,NA,0
"TCGA-BC-A5W4",NA,NA,0
"TCGA-BC-A69H",NA,NA,0
"TCGA-BC-A69I",NA,NA,0
"TCGA-BC-A8YO",NA,NA,0
"TCGA-BD-A2L6",NA,NA,0
"TCGA-BD-A3EP",NA,NA,0
"TCGA-BD-A3ER",NA,NA,0
"TCGA-BW-A5NO",NA,NA,0
"TCGA-BW-A5NP",NA,NA,0
"TCGA-BW-A5NQ",NA,NA,0
"TCGA-CC-5258",NA,NA,0
"TCGA-CC-5259",NA,NA,0
"TCGA-CC-5260",NA,NA,0
"TCGA-CC-5261",NA,NA,0
"TCGA-CC-5262",NA,NA,0
"TCGA-CC-5263",NA,NA,0
"TCGA-CC-5264",NA,NA,0
"TCGA-CC-A123",NA,NA,0
"TCGA-CC-A1HT",NA,NA,0
"TCGA-CC-A3M9",NA,NA,0
"TCGA-CC-A3MA",NA,NA,0
"TCGA-CC-A3MB",NA,NA,0
"TCGA-CC-A3MC",NA,NA,0
"TCGA-CC-A5UC",NA,NA,0
"TCGA-CC-A5UD",NA,NA,0
"TCGA-CC-A5UE",NA,NA,0
"TCGA-CC-A7IE",NA,NA,0
"TCGA-CC-A7IF",NA,NA,0
"TCGA-CC-A7IG",NA,NA,0
"TCGA-CC-A7IH",NA,NA,0
"TCGA-CC-A7II",NA,NA,0
"TCGA-CC-A7IJ",NA,NA,0
"TCGA-CC-A7IK",NA,NA,0
"TCGA-CC-A7IL",NA,NA,0
"TCGA-CC-A8HT",NA,NA,0
"TCGA-CC-A8HU",NA,NA,0
"TCGA-CC-A8HV",NA,NA,0
"TCGA-CC-A9FS",NA,NA,0
"TCGA-CC-A9FU",NA,NA,0
"TCGA-CC-A9FV",NA,NA,0
"TCGA-CC-A9FW",NA,NA,0
"TCGA-DD-A113",NA,NA,0
"TCGA-DD-A114",NA,NA,0
"TCGA-DD-A115",NA,NA,0
"TCGA-DD-A116",NA,NA,0
"TCGA-DD-A118",NA,NA,0
"TCGA-DD-A119",NA,NA,0
"TCGA-DD-A11A",NA,NA,0
"TCGA-DD-A11B",NA,NA,0
"TCGA-DD-A11C",NA,NA,0
"TCGA-DD-A11D",NA,NA,0
"TCGA-DD-A1E9",NA,NA,0
"TCGA-DD-A1EA",NA,NA,0
"TCGA-DD-A1EB",NA,NA,0
