"","AEW541","Nilotinib","X17.AAG","PHA.665752","Lapatinib","Nutlin.3","AZD0530","PF2341066","L.685458","ZD.6474","Panobinostat","Sorafenib","Irinotecan","Topotecan","LBW242","PD.0325901","PD.0332991","Paclitaxel","AZD6244","PLX4720","RAF265","TAE684","TKI258","Erlotinib"
"SF126",0.9526,0.5877,2.7719,0,0.3474,0.08125,0.5959,0.4382,0.05543,0.5404,4.1631,0.5917,3.7926,4.3635,0.2755,1.0433,0.4761,4.6195,0.2737,0.2292,1.8753,1.3627,1.4397,0.07066
"SKMEL2",0.2356,0.7005,2.0922,0.5486,0.9673,2.1103,0.1274,0.4815,0.4891,0.04064,4.9024,0.8119,2.7765,1.1798,1.3409,3.0417,0.442,3.657,1.7595,0.4425,1.6529,0.8386,0.6534,0.09419
"HS578T",0.2538,0.2575,3.8639,0,0.2025,0.4288,0.4801,0.4021,0,0.4577,4.1861,0.05614,NA,1.2176,0.5308,1.2618,0.4447,6.8292,0.2979,0.3128,1.2571,0.7075,1.1832,0.05836
"VMRCLCD",1.2253,0.9196,3.5308,0.8956,0.3525,0.6822,1.4598,1.5236,0.3498,0.8905,5.8651,0.8458,NA,2.2419,1.2026,0.9976,1.4569,6.523,0.6682,0.4482,0.4546,1.9492,0.9444,0.2547
"KARPAS299",0.2968,0.04111,3.0586,1.0762,0,0.1569,0.1212,1.2033,0,0.2015,4.2807,0.09596,NA,2.6928,0.6597,1.4693,0.4576,5.9128,0.7473,0.1536,1.0229,3.0368,0.3247,0
"NCIH2172",0.4366,0.07936,1.7525,0.2135,0.03765,0.05811,0.1918,0.4162,0,0.4416,NA,0.3295,0.9265,0.0547,0.5285,0.2755,0.04726,2.1174,0.3521,0.7171,0.1744,0.4014,0.2366,0.198
"LP1",2.8798,2.2922,3.2781,0.6193,1.8908,1.3709,0.4225,2.432,1.3427,1.7224,4.8948,1.1561,2.5387,2.64,0.3876,1.7369,2.2415,3.0682,1.3771,0.3489,1.0413,2.6661,1.0434,0
"TYKNU",1.0867,0.1484,3.7232,0.08034,0.5639,0,0.8178,0.7577,0.1057,1.2291,4.6765,0.5322,3.7963,3.4346,1.2606,1.6836,0.4732,5.115,0.6276,0.1161,1.3677,1.0603,0.6974,0.2076
"JHOS4",1.549,1.2189,1.6599,0.495,1.0099,0.7082,1.733,0.7615,0.4816,1.9067,3.1822,0.2538,NA,2.2804,2.5589,0.6151,0,5.2994,0.6264,0.2998,1.1065,1.3722,1.098,0.9895
"HUH1",1.4368,0.2987,2.7021,0.1365,0.3326,0.1682,0.5394,0.4129,0,0.3792,3.2468,0.1994,2.3966,2.5865,0.04504,0.2633,0.559,4.4053,0.1214,0.09978,1.0498,1.3823,0.9419,0.4804
"MDAMB468",1.9311,0.6117,2.575,0.868,1.4168,0.9397,1.016,1.0025,1.5567,1.8697,3.384,0.8336,3.8767,3.7305,0.8595,1.5386,0.903,6.075,0.9323,0.1516,1.9761,1.4916,1.6093,1.8648
"MDAMB415",0.5793,0.9927,3.8425,0,0.4949,0.3684,0.699,0.652,0.04379,0.09347,4.546,0.8087,NA,1.0161,0.6508,0.3595,0.9099,2.8461,0.3868,0.05878,1.4923,0.2655,1.1061,0.03477
"JHOS2",1.2322,0.5389,1.9626,0.5548,0.5668,0.4878,0.4457,0.3298,0.5928,1.3901,3.0253,0,NA,2.3488,1.1132,1.0772,0.03892,4.1841,1.2776,0.6494,1.0853,0.7772,0.7762,0.1802
"MKN45",0.5995,0.358,5.2123,2.14,0.2113,0.6576,0.5686,3.6422,1.7307,0.3538,4.163,0.8244,4.1061,4.3579,0.7376,2.7494,0.307,5.8234,1.5757,0.0819,2.3323,0.5641,1.0145,0.18
"SF295",0.9258,0.2989,3.2674,0.4697,0.4123,0.2025,0.4257,0.8342,0.05788,0.1916,3.2886,0.2399,2.844,3.0484,0.2531,0.6552,0.1626,4.5241,0.466,0.2133,1.337,1.0372,0.9636,0.1438
